,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
95,Category Manager,"Cape Town Region, Western Cape",Permanent Intermediate position,Michele Visser Recruiters,Undisclosed,,08 Dec 2022,15 Dec 2022,7,5,https://www.careerjunction.co.za/category-manager-job-2492261.aspx
96,Hotel Duty Manager at Village & Life,"Camps Bay, Western Cape",Permanent Intermediate position,Career Custodians,"R13,000 per month",13000.0,08 Dec 2022,02 Jan 2023,25,23,https://www.careerjunction.co.za/hotel-duty-manager-at-village-%26-life-job-2494517.aspx
97,Assistant Financial Planning & Analysis Manager,"Port Elizabeth, Eastern Cape",Permanent Management position,MPC Recruitment (MPC Recruitment),Undisclosed,,08 Dec 2022,02 Jan 2023,25,23,https://www.careerjunction.co.za/assistant-financial-planning-%26-analysis-manager-job-2494524.aspx
98,Practice Manager,"Northcliff, Gauteng",Permanent Management position,The Recruitment Council,"R40,000 per month",40000.0,08 Dec 2022,02 Jan 2023,25,23,https://www.careerjunction.co.za/practice-manager-job-2494430.aspx
99,Key Account / Product Manager - Food Raw Material Ingredients,"Bryanston, Gauteng",Permanent Intermediate position,Talentsphere,R Undisclosed,,08 Dec 2022,28 Dec 2022,20,18,https://www.careerjunction.co.za/key-account-product-manager-food-raw-material-ingredients-job-2494559.aspx
100,Senior Key Accounts / Product Manager - Personal Care Ingredient Raw Materials - Manufacturing,"Bryanston, Gauteng",Permanent Intermediate position,Talentsphere,R Undisclosed,,08 Dec 2022,28 Dec 2022,20,18,https://www.careerjunction.co.za/senior-key-accounts-product-manager-personal-care-ingredient-raw-materials-manufacturing-job-2494554.aspx
101,Group Gaming Executive General Manager at Headhunters,"Eastern Cape, South Africa",Permanent Senior position,Headhunters (Head Office),R Undisclosed,,08 Dec 2022,29 Dec 2022,21,19,https://www.careerjunction.co.za/group-gaming-executive-general-manager-at-headhunters-job-2494529.aspx
102,Audit Manager,"Cape Town Region, Western Cape",Permanent Intermediate position,Michele Visser Recruiters,Undisclosed,,08 Dec 2022,15 Dec 2022,7,5,https://www.careerjunction.co.za/audit-manager-job-2492257.aspx
103,Key Account Manager,"Sandown, Gauteng",Permanent Intermediate position,4C Recruitment Pty Ltd,"R62,500 - R66,700 per month",62500.0,08 Dec 2022,02 Jan 2023,25,23,https://www.careerjunction.co.za/key-account-manager-job-2494393.aspx
104,Construction Manager (Commercial),"Johannesburg, Gauteng",Permanent Senior position,Kerfield Recruitment,"R50,000 - R60,000 per month",50000.0,08 Dec 2022,24 Dec 2022,16,14,https://www.careerjunction.co.za/construction-manager-commercial-job-2493300.aspx
105,Manager Finishing,"Johannesburg, Gauteng",Permanent Senior position,SISOL LABOUR PROJECTS (PTY) LTD,"R30,000 - R35,000 per month",30000.0,08 Dec 2022,11 Jan 2023,34,32,https://www.careerjunction.co.za/manager-finishing-job-2495694.aspx
106,"Commercial Manager: Strategy, Forecasting and Reporting","Johannesburg, Gauteng",Permanent Senior position,Boardroom Appointments,R Undisclosed,,08 Dec 2022,28 Dec 2022,20,18,https://www.careerjunction.co.za/commercial-manager-strategy-forecasting-and-reporting-job-2494562.aspx
