,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
505,HR Support Administrator,"Midrand, Gauteng",Permanent Junior position,iOCO Recruitment Solutions,R Undisclosed,,02 Dec 2022,27 Dec 2022,25,25,https://www.careerjunction.co.za/hr-support-administrator-job-2493758.aspx
506,Property Manager,"Sandton, Gauteng",Permanent Management position,Ability Recruitment Group (Pty) Ltd,R Undisclosed,,02 Dec 2022,13 Dec 2022,11,11,https://www.careerjunction.co.za/property-manager-job-2493750.aspx
507,Network Administrator,"Pretoria, Gauteng",Permanent Intermediate position,Intellistaff Outsourced Services,R Undisclosed,,02 Dec 2022,13 Dec 2022,11,11,https://www.careerjunction.co.za/network-administrator-job-2492527.aspx
508,Corporate Finance Specialist at Candidate Connect,"Cape Town Region, Western Cape",Permanent Senior position,Candidate Connect,R Undisclosed,,25 Nov 2022,25 Dec 2022,30,23,https://www.careerjunction.co.za/corporate-finance-specialist-at-candidate-connect-job-2494093.aspx
509,QA Automation Engineer,"Woodstock, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,30 Nov 2022,26 Dec 2022,26,24,https://www.careerjunction.co.za/qa-automation-engineer-job-2493502.aspx
510,Machine Learning Op's Engineer,"Cape Town CBD, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,01 Dec 2022,26 Dec 2022,25,24,https://www.careerjunction.co.za/machine-learning-op-s-engineer-job-2493505.aspx
511,SHEQ Officer,"Richards Bay, KwaZulu-Natal",Permanent Specialist position,Master Builders Recruitment,R00 per month,0.0,01 Dec 2022,08 Dec 2022,7,6,https://www.careerjunction.co.za/sheq-officer-job-2491287.aspx
512,Cloud Technician,"Cape Town, Western Cape",Permanent Intermediate position,Recru-it,R Undisclosed,,27 Nov 2022,08 Dec 2022,11,6,https://www.careerjunction.co.za/cloud-technician-job-2493246.aspx
513,Senior Bookkeeper(Trial Balance),"Johannesburg, Gauteng",Permanent Senior position,Intellistaff Outsourced Services,R Undisclosed,,24 Nov 2022,11 Dec 2022,17,9,https://www.careerjunction.co.za/senior-bookkeepertrial-balance-job-2492582.aspx
514,Senior Business Analyst,"Cape Town Region, Western Cape",Permanent Senior position,Resourgenix,R Undisclosed,,29 Nov 2022,02 Jan 2023,34,31,https://www.careerjunction.co.za/senior-business-analyst-job-2494436.aspx
515,Head of Corporate Actuarial,"Dainfern, Gauteng",Permanent Executive position,The Recruitment Council,"R133,300 - R175,000 per month",133300.0,29 Nov 2022,02 Jan 2023,34,31,https://www.careerjunction.co.za/head-of-corporate-actuarial-job-2494420.aspx
516,Analyst (Actuary),"Dainfern, Gauteng",Permanent Senior position,The Recruitment Council,"R49,000 - R79,900 per month",49000.0,29 Nov 2022,02 Jan 2023,34,31,https://www.careerjunction.co.za/analyst-actuary-job-2494408.aspx
517,Internal Auditor at Ntice Search,"Paarl, Western Cape",Permanent Intermediate position,Ntice Sourcing Solutions,R Undisclosed,,29 Nov 2022,09 Dec 2022,10,7,https://www.careerjunction.co.za/internal-auditor-at-ntice-search-job-2492338.aspx
518,project lead - Manufacturing,"Edenvale, Gauteng",Permanent Intermediate position,Progressive International,R Undisclosed,,29 Nov 2022,06 Dec 2022,7,4,https://www.careerjunction.co.za/project-lead-manufacturing-job-2490922.aspx
