,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
52,Planning Manager  at Fempower Personnel,"Johannesburg Region, Gauteng",Permanent Intermediate position,Fempower Personnel,R Undisclosed,,01 Dec 2022,04 Dec 2022,3,0,https://www.careerjunction.co.za/planning-manager-at-fempower-personnel-job-2491350.aspx
53,Technical Sales Manager,"East Rand, Gauteng",Permanent Senior position,Accountancy Placements,R Undisclosed,,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/technical-sales-manager-job-2493608.aspx
54,Senior Sales Accounts Manager – Telco,"Gauteng, South Africa",Permanent Senior position,Elite Search and Selection,R35 - R40 per month,35.0,01 Dec 2022,08 Dec 2022,7,4,https://www.careerjunction.co.za/senior-sales-accounts-manager-telco-job-2493539.aspx
55,Construction Manager,"Roodepoort, Gauteng",Permanent Management position,InspHired Recruitment Solutions,"R15,000 - R25,000 per month",15000.0,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/construction-manager-job-2493543.aspx
56,EXECUTIVE MANAGER: BIOMETALLURGY DIVISION,"Johannesburg, Gauteng",Permanent Executive EE position,MPC Recruitment (MPC Recruitment),Undisclosed,,01 Dec 2022,08 Dec 2022,7,4,https://www.careerjunction.co.za/executive-manager-biometallurgy-division-job-2491281.aspx
57,Property Portfolio Manager at Business Partners,"Houghton Estate, Gauteng",Permanent Specialist position,Business Partners,R Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/property-portfolio-manager-at-business-partners-job-2494750.aspx
58,Plant Manager at Mpact,"Germiston, Gauteng",Permanent Management position,Humanity SA,"R35,000 - R50,000 per month",35000.0,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/plant-manager-at-mpact-job-2493580.aspx
59,Marketing Research Manager,"Johannesburg Region, Gauteng",Permanent Senior position,DAV,"R70,800 - R75,000 per month",70800.0,01 Dec 2022,22 Dec 2022,21,18,https://www.careerjunction.co.za/marketing-research-manager-job-2493559.aspx
60,Senior Accountant / Financial Manager Designate,"Selby, Gauteng",Permanent Senior position,Wexford Search and Selection,"R37,500 - R41,700 per month",37500.0,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/senior-accountant-financial-manager-designate-job-2493546.aspx
61,Financial Manager at Intdev Internet Technologies,"Midrand, Gauteng",Permanent Management position,Axiz,R Undisclosed,,03 Dec 2022,29 Dec 2022,26,25,https://www.careerjunction.co.za/financial-manager-at-intdev-internet-technologies-job-2494021.aspx
62,Electrical Field Manager at Wayne's Electrical,"Kempton Park, Gauteng",Permanent Intermediate position,Wayne's Electrical (Pty) Ltd,R Undisclosed,,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/electrical-field-manager-at-wayne-s-electrical-job-2493467.aspx
63,Group Technical Manager,"Johannesburg, Gauteng",Permanent Senior position,Boardroom Appointments,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/group-technical-manager-job-2494778.aspx
64,"Manager Investigation Support Services, Commercial at Financial Intelligence Centre","Pretoria Region, Gauteng",Permanent Management EE position,Financial Intelligence Centre,R Undisclosed,,30 Nov 2022,09 Dec 2022,9,5,https://www.careerjunction.co.za/manager-investigation-support-services-commercial-at-financial-intelligence-centre-job-2494622.aspx
65,General Manager: Export Markets,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/general-manager-export-markets-job-2494777.aspx
66,Fleet Excellence Manager,"Johannesburg, Gauteng",Permanent Senior position,Boardroom Appointments,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/fleet-excellence-manager-job-2494771.aspx
67,General Manager: Africa,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/general-manager-africa-job-2494775.aspx
68,Operations / General Manager - ERP Software,"Fourways, Gauteng",Permanent Management position,ProApp HR Solutions,"R60,000 - R80,000 per month",60000.0,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/operations-general-manager-erp-software-job-2493494.aspx
69,National Key Account Manager at Twinsaver,"Bryanston, Gauteng",Permanent Senior position,Twinsaver Group,Undisclosed,,30 Nov 2022,07 Dec 2022,7,3,https://www.careerjunction.co.za/national-key-account-manager-at-twinsaver-job-2491064.aspx
70,Business Intelligence Manager,"Houghton Estate, Gauteng",Permanent Senior position,Manpower SA,"R81,700 - R83,300 per month",81700.0,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/business-intelligence-manager-job-2494755.aspx
71,Social Media Manager,"Rosebank, Gauteng",Permanent Intermediate position,Leadwood Recruitment,"R30,000 - R40,000 per month",30000.0,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/social-media-manager-job-2493517.aspx
72,Finance Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Senior position,Milton Resourcing (Pty) Ltd,"R40,000 - R50,000 per month",40000.0,03 Dec 2022,13 Dec 2022,10,9,https://www.careerjunction.co.za/finance-manager-job-2492794.aspx
73,Investigation Manager,"Johannesburg, Gauteng",Contract Senior position,Network Contracting Solutions,R496.00 - R546.00 per hour,79360.0,30 Nov 2022,14 Dec 2022,14,10,https://www.careerjunction.co.za/investigation-manager-job-2494751.aspx
74,EXECUTIVE MANAGER: MATERIALS DIVISION,"Johannesburg, Gauteng",Permanent Executive EE position,MPC Recruitment (MPC Recruitment),Undisclosed,,30 Nov 2022,08 Dec 2022,8,4,https://www.careerjunction.co.za/executive-manager-materials-division-job-2491279.aspx
75,EXECUTIVE MANAGER: MATERIALS DIVISION,"Johannesburg, Gauteng",Permanent Executive EE position,MPC Recruitment (MPC Recruitment),Undisclosed,,30 Nov 2022,08 Dec 2022,8,4,https://www.careerjunction.co.za/executive-manager-materials-division-job-2491279.aspx
76,Executive Manager CEO's Office,"Bruma, Gauteng",Permanent Management position,Mastech,R Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/executive-manager-ceo-s-office-job-2494769.aspx
77,ERP Manager,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/erp-manager-job-2494701.aspx
78,IT Audit Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Senior position,Milton Resourcing (Pty) Ltd,R Undisclosed,,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/it-audit-manager-job-2494682.aspx
79,Treasury Manager,"Johannesburg, Gauteng",Permanent Management position,OutsideCapital,"R83,300 - R108,300 per month",83300.0,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/treasury-manager-job-2494709.aspx
80,CENTRE MANAGER,"Johannesburg North (Johannesburg North), Gauteng",Permanent Senior position,Secondments,R Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/centre-manager-job-2494749.aspx
81,Business Unit Manager,"Johannesburg Region, Gauteng",Permanent Management position,Lotus Recruitment,Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/business-unit-manager-job-2494700.aspx
82,Data Manager/Scientist (20 Months) Wits GRT  at AJ Personnel,"Johannesburg Region, Gauteng",Contract Intermediate position,AJ Personnel,R Undisclosed,,30 Nov 2022,30 Dec 2022,30,26,https://www.careerjunction.co.za/data-manager-scientist-20-months-wits-grt-at-aj-personnel-job-2494746.aspx
83,Strategic and Commercial Manager,"Johannesburg, Gauteng",Permanent Management position,T and T Academy,"R40,000 - R55,000 per month",40000.0,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/strategic-and-commercial-manager-job-2494670.aspx
84,Finance Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Senior position,Milton Resourcing (Pty) Ltd,"R40,000 - R50,000 per month",40000.0,03 Dec 2022,13 Dec 2022,10,9,https://www.careerjunction.co.za/finance-manager-job-2492794.aspx
85,Strategic and Commercial Manager,"Randburg, Gauteng",Permanent Management position,T and T Academy,"R45,000 - R55,000 per month",45000.0,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/strategic-and-commercial-manager-job-2494648.aspx
86,Financial Manager CA SA,"Vereeniging NU, Gauteng",Permanent Management EE position,Kwena Human Capital,Undisclosed,,03 Dec 2022,29 Dec 2022,26,25,https://www.careerjunction.co.za/financial-manager-ca-sa-job-2494030.aspx
87,Tax Manager,"Johannesburg, Gauteng",Permanent Senior position,ProApp HR Solutions,"R48,000 - R58,000 per month",48000.0,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/tax-manager-job-2494643.aspx
88,Planning Manager at Headhunters,"Johannesburg Region, Gauteng",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,30 Nov 2022,30 Dec 2022,30,26,https://www.careerjunction.co.za/planning-manager-at-headhunters-job-2494637.aspx
89,Executive Manager: Business Development and Commercialisation,"Pretoria CBD, Gauteng",Permanent Executive position,Tipp Focus,R Undisclosed,,03 Dec 2022,20 Dec 2022,17,16,https://www.careerjunction.co.za/executive-manager-business-development-and-commercialisation-job-2492757.aspx
90,Regional Sales Manager at Headhunters,"East Rand, Gauteng",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,30 Nov 2022,21 Dec 2022,21,17,https://www.careerjunction.co.za/regional-sales-manager-at-headhunters-job-2493406.aspx
91,EXECUTIVE MANAGER: BIOMETALLURGY DIVISION,"Johannesburg, Gauteng",Permanent Management EE position,MPC Recruitment (MPC Recruitment),Undisclosed,,30 Nov 2022,07 Dec 2022,7,3,https://www.careerjunction.co.za/executive-manager-biometallurgy-division-job-2491177.aspx
92,Strategic and Commercial Manager,"Randburg, Gauteng",Permanent Management position,MPC Recruitment (MPC Recruitment),Undisclosed,,30 Nov 2022,16 Dec 2022,16,12,https://www.careerjunction.co.za/strategic-and-commercial-manager-job-2492370.aspx
93,Branch Manager at CCL GLOBAL,"Pretoria Region, Gauteng",Permanent Intermediate position,CCL Global,R Undisclosed,,03 Dec 2022,19 Dec 2022,16,15,https://www.careerjunction.co.za/branch-manager-at-ccl-global-job-2492638.aspx
94,Finance Manager,"Centurion, Gauteng",Permanent Intermediate position,Intellistaff Outsourced Services,R Undisclosed,,03 Dec 2022,15 Dec 2022,12,11,https://www.careerjunction.co.za/finance-manager-job-2492771.aspx
95,Quality Manager Parts - 2JHN,"Pretoria, Gauteng",Contract Intermediate position,Jordan HR,R Undisclosed,,03 Dec 2022,06 Dec 2022,3,2,https://www.careerjunction.co.za/quality-manager-parts-2jhn-job-2491422.aspx
96,Senior QA Manager,"East Rand, Gauteng",Permanent Management position,Fenris Personnel,Undisclosed,,03 Dec 2022,11 Dec 2022,8,7,https://www.careerjunction.co.za/senior-qa-manager-job-2491403.aspx
97,Assistant Manager Finance at Imperial,"Johannesburg, Gauteng",Contract Specialist position,Imperial Logistics,Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/assistant-manager-finance-at-imperial-job-2493942.aspx
98,Regional Sales Manager at Westfalia Fruit,"East Rand, Gauteng",Permanent Management position,Westfalia Fruit,R Undisclosed,,29 Nov 2022,07 Dec 2022,8,3,https://www.careerjunction.co.za/regional-sales-manager-at-westfalia-fruit-job-2491049.aspx
99,EXECUTIVE MANAGER: ADVANCED MATERIALS DIVISION,"Johannesburg, Gauteng",Permanent Management position,MPC Recruitment (MPC Recruitment),Undisclosed,,30 Nov 2022,07 Dec 2022,7,3,https://www.careerjunction.co.za/executive-manager-advanced-materials-division-job-2491135.aspx
100,Business Development Manager,"Waverley, Gauteng",Permanent Senior position,InspHired Recruitment Solutions,"R25,000 - R27,000 per month",25000.0,30 Nov 2022,07 Dec 2022,7,3,https://www.careerjunction.co.za/business-development-manager-job-2490972.aspx
101,Restaurant Manager,"Irene, Gauteng",Permanent Intermediate position,Swift Human Resources,"R9,500 - R12,000 per month",9500.0,03 Dec 2022,19 Dec 2022,16,15,https://www.careerjunction.co.za/restaurant-manager-job-2492752.aspx
102,Factory Manager at Garden Morris Packaging & Food,"Kempton Park, Gauteng",Permanent Intermediate position,Kees Beyers Chocolate,"R20,000 per month",20000.0,29 Nov 2022,25 Dec 2022,26,21,https://www.careerjunction.co.za/factory-manager-at-garden-morris-packaging-%26-food-job-2493331.aspx
103,Human Resource Manager,"Bryanston, Gauteng",Permanent Senior position,4C Recruitment Pty Ltd,"R70,000 - R75,000 per month",70000.0,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/human-resource-manager-job-2493870.aspx
104,Finance Manager (6 month contract) at Letsema Strategy Services,"Rosebank, Gauteng
 / Work From Home",Contract Senior position,Letsema Strategy Services,"R50,000 - R60,000 per month",50000.0,03 Dec 2022,19 Dec 2022,16,15,https://www.careerjunction.co.za/finance-manager-6-month-contract-at-letsema-strategy-services-job-2492685.aspx
105,Manager Client Engagement,"Sandton, Gauteng",Permanent Intermediate position,Capitec Bank,R Undisclosed,,29 Nov 2022,09 Dec 2022,10,5,https://www.careerjunction.co.za/manager-client-engagement-job-2494442.aspx
106,Senior HR Manager (Pretoria) at Abantu Staffing Solutions,"Pretoria Region, Gauteng",Permanent Senior position,Abantu Staffing Solutions,R Undisclosed,,03 Dec 2022,15 Dec 2022,12,11,https://www.careerjunction.co.za/senior-hr-manager-pretoria-at-abantu-staffing-solutions-job-2492734.aspx
107,Commercial Manager at Westfalia Fruit (Pty) Ltd,"Midrand, Gauteng",Permanent Management position,Westfalia Fruit,R Undisclosed,,29 Nov 2022,15 Dec 2022,16,11,https://www.careerjunction.co.za/commercial-manager-at-westfalia-fruit-pty-ltd-job-2492211.aspx
108,Call Centre Manager at Nutun,"Sandton, Gauteng",Permanent Management position,Nutun,Undisclosed,,29 Nov 2022,02 Jan 2023,34,29,https://www.careerjunction.co.za/call-centre-manager-at-nutun-job-2494390.aspx
