,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
58,Senior DevOps Engineer (Java / AWS / Azure) - Hybrid - up to R800 Per Hour at e-Merge IT Recruitment,"Johannesburg, Gauteng",Contract Senior position,e-Merge IT Recruitment,"R128,000 per month",128000.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/senior-devops-engineer-java-aws-azure-hybrid-up-to-r800-per-hour-at-e-merge-it-recruitment-job-2494906.aspx
59,IT Infrastructure Engineer,"Tyger Valley, Western Cape",Permanent Senior position,Kwena Human Capital,R Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/it-infrastructure-engineer-job-2494887.aspx
60,Lead R&D Mechatronics Engineer,"Johannesburg, Gauteng",Permanent Intermediate position,Ultra Personnel cc,R Undisclosed,,01 Dec 2022,29 Dec 2022,28,25,https://www.careerjunction.co.za/lead-r%26d-mechatronics-engineer-job-2494902.aspx
61,DevOps Engineer (Kenya) at Parvana Recruitment,Kenya,Permanent Senior position,Parvana Strategic Sourcing,Undisclosed,,01 Dec 2022,12 Dec 2022,11,8,https://www.careerjunction.co.za/devops-engineer-kenya-at-parvana-recruitment-job-2492390.aspx
62,Senior IT Support Engineer,"Irene, Gauteng",Permanent Senior position,Placement Specialist,"R30,000 - R35,000 per month",30000.0,02 Dec 2022,28 Dec 2022,26,24,https://www.careerjunction.co.za/senior-it-support-engineer-job-2493878.aspx
63,Data Engineer,"East London, Eastern Cape",Permanent Intermediate position,Staff Solutions,R Undisclosed,,01 Dec 2022,29 Dec 2022,28,25,https://www.careerjunction.co.za/data-engineer-job-2494857.aspx
64,Data Engineer,"Cape Town CBD, Western Cape
 / Work From Home",Permanent Intermediate position,BigTalent,"R50,000 - R75,000 per month",50000.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/data-engineer-job-2494832.aspx
65,Electrical Building Services Engineer (UK Emigration Opportunity),United Kingdom,Permanent Senior position,Talent Advance,"R83,300 - R105,000 per month",83300.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/electrical-building-services-engineer-uk-emigration-opportunity-job-2494845.aspx
66,Senior Project Mechanical Design Engineer (Data Centres),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,R Undisclosed,,01 Dec 2022,08 Dec 2022,7,4,https://www.careerjunction.co.za/senior-project-mechanical-design-engineer-data-centres-job-2493484.aspx
67,Senior Cloud Engineer (Azure),"Durban (Durban CBD), KwaZulu-Natal",Permanent Senior position,Carlysle Human Capital,R Undisclosed,,01 Dec 2022,19 Dec 2022,18,15,https://www.careerjunction.co.za/senior-cloud-engineer-azure-job-2493571.aspx
68,Voice Engineer,"Johannesburg Region, Gauteng",Permanent Senior position,Talent on Tap,R Undisclosed,,01 Dec 2022,26 Dec 2022,25,22,https://www.careerjunction.co.za/voice-engineer-job-2493638.aspx
