,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
269,Software Developer Manager (NGO),"KwaZulu-Natal, South Africa",Permanent Senior position,SciTech Placements (Pty) Ltd,"R86,600 - R115,400 per month",86600.0,30 Nov 2022,26 Dec 2022,26,22,https://www.careerjunction.co.za/software-developer-manager-ngo-job-2493489.aspx
270,Power BI Developer (Power BI Embedded),"Johannesburg Region, Gauteng
 / Work From Home",Permanent Intermediate position,Exclusively Remote,Undisclosed,,30 Nov 2022,25 Dec 2022,25,21,https://www.careerjunction.co.za/power-bi-developer-power-bi-embedded-job-2493397.aspx
271,Infrastructure Project Manager (Remote),"Johannesburg North (Johannesburg North), Gauteng",Contract Senior position,Recru-it,R Undisclosed,,30 Nov 2022,19 Dec 2022,19,15,https://www.careerjunction.co.za/infrastructure-project-manager-remote-job-2493388.aspx
272,Cloud Infrastructure Engineer,Netherlands,Permanent Specialist position,DCV Sabenza IT and Recruitment,Undisclosed,,30 Nov 2022,25 Dec 2022,25,21,https://www.careerjunction.co.za/cloud-infrastructure-engineer-job-2493382.aspx
273,Quality Assurance Engineer,United Kingdom,Contract Intermediate position,Blossom Technology Solutions,Undisclosed,,30 Nov 2022,25 Dec 2022,25,21,https://www.careerjunction.co.za/quality-assurance-engineer-job-2493328.aspx
274,Senior Software Team Lead (NGO),"KwaZulu-Natal, South Africa",Permanent Senior position,SciTech Placements (Pty) Ltd,"R70,800 - R95,800 per month",70800.0,30 Nov 2022,20 Dec 2022,20,16,https://www.careerjunction.co.za/senior-software-team-lead-ngo-job-2493477.aspx
275,Accounts Payable Assistant,"Menlyn, Gauteng",Contract Junior position,Career Minded,"R14,000 - R17,000 per month",14000.0,28 Nov 2022,01 Jan 2023,34,28,https://www.careerjunction.co.za/accounts-payable-assistant-job-2494374.aspx
276,Learning Designer,"Brooklyn, Gauteng",Permanent Senior EE position,Kwena Human Capital,Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/learning-designer-job-2494942.aspx
277,Business Intelligence Manager,"Houghton Estate, Gauteng",Permanent Senior position,Manpower SA,"R81,700 - R83,300 per month",81700.0,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/business-intelligence-manager-job-2494755.aspx
278,Night Shift Manager,"Cape Town Region, Western Cape
 / Work From Home",Contract Management position,Exclusively Remote,R Undisclosed,,29 Nov 2022,15 Dec 2022,16,11,https://www.careerjunction.co.za/night-shift-manager-job-2492197.aspx
279,Specialist: Consolidatiions and Grp Stat Rep,"Johannesburg Region, Gauteng",Permanent Specialist EE position,Godisanang Recruitment (Pty) Ltd,R Undisclosed,,01 Dec 2022,18 Dec 2022,17,14,https://www.careerjunction.co.za/specialist-consolidatiions-and-grp-stat-rep-job-2492453.aspx
280,Senior Technical Manager,"East London, Eastern Cape",Permanent Senior position,Staff Solutions,R Undisclosed,,01 Dec 2022,12 Dec 2022,11,8,https://www.careerjunction.co.za/senior-technical-manager-job-2492437.aspx
281,Accountant at Wispeco Aluminium,"Alberton, Gauteng",Permanent Intermediate position,WISPECO Aluminium,Undisclosed,,01 Dec 2022,27 Dec 2022,26,23,https://www.careerjunction.co.za/accountant-at-wispeco-aluminium-job-2493727.aspx
282,Database Administrator,"Umhlanga Ridge, KwaZulu-Natal",Permanent Intermediate position,First Recruit,"R30,000 - R40,000 per month",30000.0,29 Nov 2022,07 Dec 2022,8,3,https://www.careerjunction.co.za/database-administrator-job-2491048.aspx
283,Pre-Sales Engineer (Jnr.),"Midrand, Gauteng",Permanent Intermediate position,Dynexity,"R20,000 - R30,000 per month",20000.0,26 Nov 2022,06 Dec 2022,10,2,https://www.careerjunction.co.za/pre-sales-engineer-jnr-job-2491624.aspx
284,Business Analyst,"Centurion, Gauteng",Contract Senior position,Psybergate Pty Ltd,R Undisclosed,,02 Dec 2022,14 Dec 2022,12,10,https://www.careerjunction.co.za/business-analyst-job-2492649.aspx
285,Registered Nurse Theatre Qualified,"Johannesburg, Gauteng",Permanent Intermediate position,Mass Staffing Projects,"R16,700 - R33,300 per month",16700.0,28 Nov 2022,01 Jan 2023,34,28,https://www.careerjunction.co.za/registered-nurse-theatre-qualified-job-2494255.aspx
286,Senior Test Analyst,"Pretoria CBD, Gauteng",Contract Senior position,EQPlus,Undisclosed,,27 Nov 2022,13 Dec 2022,16,9,https://www.careerjunction.co.za/senior-test-analyst-job-2491968.aspx
287,Accounts Payable Accountant,"Johannesburg, Gauteng",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,26 Nov 2022,25 Dec 2022,29,21,https://www.careerjunction.co.za/accounts-payable-accountant-job-2494150.aspx
288,IOS Software Engineer,"Cape Town CBD, Western Cape",Permanent Intermediate position,MIT Recruitment,Undisclosed,,01 Dec 2022,27 Dec 2022,26,23,https://www.careerjunction.co.za/ios-software-engineer-job-2493660.aspx
